Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","10/04/2021 21:53 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H02MqJ
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
1959,-,-,Denmark,DNK,2400,0,0,,0,0
1959,-,-,France,FRA,387201,0,0,,0,0
1959,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,170000,0,0,,0,0
1959,-,-,Germany,DEU,205000,0,0,,0,0
1959,-,-,Greece,GRC,15500,0,0,,0,0
1959,-,-,Italy,ITA,18500,0,0,,0,0
1959,-,-,Luxembourg,LUX,1900,0,0,,0,0
1959,-,-,Morocco,MAR,2700,0,0,,0,0
1959,-,-,Netherlands,NLD,12800,0,0,,0,0
1959,-,-,Norway,NOR,3100,0,0,,0,0
1959,-,-,Sweden,SWE,28000,0,0,,0,0
1959,-,-,Switzerland,CHE,20000,0,0,,0,0
1959,-,-,Tunisia,TUN,1000,0,0,,0,0
1959,-,-,Turkey,TUR,2150,0,0,,0,0
1959,-,-,"United States of America",USA,500000,0,0,,0,0
1959,-,-,"Unknown ",,154000,0,0,,0,0
1960,-,-,Austria,AUT,39000,0,0,,0,0
1960,-,-,Belgium,BEL,55000,0,0,,0,0
1960,-,-,Canada,CAN,48629,0,0,,0,0
1960,-,-,"Dem. Rep. of the Congo",COD,150000,0,0,,0,0
1960,-,-,Denmark,DNK,2300,0,0,,0,0
1960,-,-,France,FRA,245935,0,0,,0,0
1960,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,167000,0,0,,0,0
1960,-,-,Germany,DEU,197000,0,0,,0,0
1960,-,-,Greece,GRC,15500,0,0,,0,0
1960,-,-,Italy,ITA,15500,0,0,,0,0
1960,-,-,Luxembourg,LUX,1900,0,0,,0,0
1960,-,-,Morocco,MAR,2700,0,0,,0,0
1960,-,-,Netherlands,NLD,12000,0,0,,0,0
1960,-,-,Norway,NOR,3000,0,0,,0,0
1960,-,-,Sweden,SWE,26000,0,0,,0,0
1960,-,-,Switzerland,CHE,20000,0,0,,0,0
1960,-,-,Tunisia,TUN,1000,0,0,,0,0
1960,-,-,Turkey,TUR,2200,0,0,,0,0
1960,-,-,"United States of America",USA,500000,0,0,,0,0
1960,-,-,"Unknown ",,152000,0,0,,0,0
1961,-,-,Austria,AUT,34000,0,0,,0,0
1961,-,-,Burundi,BDI,30000,0,0,,0,0
1961,-,-,Belgium,BEL,53000,0,0,,0,0
1961,-,-,Canada,CAN,44492,0,0,,0,0
1961,-,-,"Dem. Rep. of the Congo",COD,203000,0,0,,0,0
1961,-,-,Denmark,DNK,2200,0,0,,0,0
1961,-,-,France,FRA,253375,0,0,,0,0
1961,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,164000,0,0,,0,0
1961,-,-,Germany,DEU,190000,0,0,,0,0
1961,-,-,Greece,GRC,15200,0,0,,0,0
1961,-,-,Italy,ITA,14500,0,0,,0,0
1961,-,-,Luxembourg,LUX,1900,0,0,,0,0
1961,-,-,Morocco,MAR,2900,0,0,,0,0
1961,-,-,Netherlands,NLD,10000,0,0,,0,0
1961,-,-,Norway,NOR,3000,0,0,,0,0
1961,-,-,Spain,ESP,2000,0,0,,0,0
1961,-,-,Sweden,SWE,26000,0,0,,0,0
1961,-,-,Switzerland,CHE,20000,0,0,,0,0
1961,-,-,"United Rep. of Tanzania",TZA,12000,0,0,,0,0
1961,-,-,Togo,TGO,5000,0,0,,0,0
1961,-,-,Tunisia,TUN,1000,0,0,,0,0
1961,-,-,Turkey,TUR,2300,0,0,,0,0
1961,-,-,Uganda,UGA,52000,0,0,,0,0
1961,-,-,"United States of America",USA,500000,0,0,,0,0
1961,-,-,"Unknown ",,147200,0,0,,0,0
1962,-,-,Austria,AUT,30000,0,0,,0,0
1962,-,-,Burundi,BDI,30000,0,0,,0,0
1962,-,-,Belgium,BEL,51000,0,0,,0,0
1962,-,-,Canada,CAN,12282,0,0,,0,0
1962,-,-,"Dem. Rep. of the Congo",COD,223000,0,0,,0,0
1962,-,-,Denmark,DNK,2200,0,0,,0,0
1962,-,-,France,FRA,259740,0,0,,0,0
1962,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,160000,0,0,,0,0
1962,-,-,Germany,DEU,185000,0,0,,0,0
1962,-,-,Greece,GRC,15700,0,0,,0,0
1962,-,-,"Iran (Islamic Rep. of)",IRN,2000,0,0,,0,0
1962,-,-,Italy,ITA,14300,0,0,,0,0
1962,-,-,Luxembourg,LUX,1900,0,0,,0,0
1962,-,-,Morocco,MAR,2900,0,0,,0,0
1962,-,-,Netherlands,NLD,10000,0,0,,0,0
1962,-,-,Norway,NOR,3000,0,0,,0,0
1962,-,-,Spain,ESP,2000,0,0,,0,0
1962,-,-,Sweden,SWE,26000,0,0,,0,0
1962,-,-,Switzerland,CHE,20000,0,0,,0,0
1962,-,-,"United Rep. of Tanzania",TZA,12000,0,0,,0,0
1962,-,-,Togo,TGO,5000,0,0,,0,0
1962,-,-,Tunisia,TUN,1000,0,0,,0,0
1962,-,-,Turkey,TUR,2300,0,0,,0,0
1962,-,-,Uganda,UGA,52000,0,0,,0,0
1962,-,-,"United States of America",USA,500000,0,0,,0,0
1962,-,-,"Unknown ",,142300,0,0,,0,0
1963,-,-,Austria,AUT,27000,0,0,,0,0
1963,-,-,Burundi,BDI,34000,0,0,,0,0
1963,-,-,Belgium,BEL,50000,0,0,,0,0
1963,-,-,Canada,CAN,10946,0,0,,0,0
1963,-,-,"Dem. Rep. of the Congo",COD,237000,0,0,,0,0
1963,-,-,Denmark,DNK,2200,0,0,,0,0
1963,-,-,France,FRA,174057,0,0,,0,0
1963,-,-,"United Kingdom of Great Britain and Northern Ireland",GBR,157000,0,0,,0,0
1963,-,-,Germany,DEU,182000,0,0,,0,0
1963,-,-,Greece,GRC,15400,0,0,,0,0
1963,-,-,"Iran (Islamic Rep. of)",IRN,1500,0,0,,0,0
1963,-,-,Italy,ITA,14600,0,0,,0,0
1963,-,-,Luxembourg,LUX,1900,0,0,,0,0
1963,-,-,Morocco,MAR,3200,0,0,,0,0
1963,-,-,Netherlands,NLD,9500,0,0,,0,0
1963,-,-,Norway,NOR,3000,0,0,,0,0
1963,-,-,Senegal,SEN,6000,0,0,,0,0
1963,-,-,Spain,ESP,2000,0,0,,0,0
1963,-,-,Sweden,SWE,26000,0,0,,0,0
